,description,coicop,"VAT Holiday",vat,"vat, min","vat, max",Notes
361,"Ruanas y ponchos para hombre",3139704,1,"0,19","0,19","0,19",
362,"Bufandas, pashiminas y guantes para hombre",3139705,1,"0,19","0,19","0,19",
363,"Sombreros, gorros, cachuchas, boinas, viseras para hombre",3139706,1,"0,19","0,19","0,19",
364,"Pa�uelos y pa�oletas para mujer",3139801,1,"0,19","0,19","0,19",
365,"Cinturones y tirantas para mujer",3139802,1,"0,19","0,19","0,19",
366,"Ruanas, chales, pa�olones y ponchos para mujer",3139803,1,"0,19","0,19","0,19",
367,"Bufandas, pashminas y guantes para mujer",3139804,1,"0,19","0,19","0,19",
368,"Sombreros, gorros, cachuchas, boinas, viseras para mujer",3139805,1,"0,19","0,19","0,19",
369,"Guantes de jardiner�a o de trabajo en material diferente a caucho (nylon, lycra, hilo, mitrillo, etc.); careta, tapones de oidos, lentes de seguridad.",3139901,0,"0,19","0,19","0,19",
370,"Cascos protectores para ciclista y motociclista",3139902,0,"0,19","0,19","0,19",
371,"Hilos, cremalleras, botones, metro de costura, hombreras, encajes, broches, ganchos para ropa, hebillas, cordones y caucho para ropa  cintas, ribetes",3139903,0,"0,19","0,19","0,19",
372,"Baberos, broches y ganchos para beb�",3139904,0,"0,19","0,19","0,19",
373,"Madejas de lana y otros materiales para coser, tejer y bordar",3139905,0,"0,19","0,19","0,19",
374,"Confecci�n y reparaci�n de prendas de vestir en general (hombre, mujer, ni�os, ni�as, beb�s) ",3140101,0,"0,19","0,19","0,19",
375,"Te�ido de prendas de vestir  ",3140102,0,"0,19","0,19","0,19",
376,"Lavado y planchado de ropa fuera del hogar (en lavander�a, otro hogar u establecimiento)",3140201,0,"0,19","0,19","0,19",
377,"Alquiler de prendas de vestir en general (hombre mujer, ni�os, ni�as y beb�s)",3140301,0,"0,19","0,19","0,19",
378,"Zapatos en cuero, caucho, goma y similares para hombre",3210101,0,"0,19","0,19","0,19",
379,"Botas en cuero, caucho, goma y similares para hombre",3210102,0,"0,19","0,19","0,19",
380,"Tenis, zapatillas y otros zapatos deportivos para hombre (excluyendo zapatos para deportes espec�ficos equipados con cuchillas, ruedas, clavos, tacos, taches)",3210103,0,"0,19","0,19","0,19",
381,"Pantuflas, sandalias, abuelitas, chanclas, cotizas y alpargatas para hombre",3210104,0,"0,19","0,19","0,19",
382,"Calzado plano en cuero, caucho, goma y similares para mujer",3210201,0,"0,19","0,19","0,19",
383,"Calzado de tac�n en cuero, caucho, goma y similares para mujer",3210202,0,"0,19","0,19","0,19",
384,"Botas en cuero, caucho, goma y similares para mujer",3210203,0,"0,19","0,19","0,19",
385,"Tenis, zapatillas y otros zapatos deportivos para mujer (excluyendo zapatos para deportes espec�ficos equipados con cuchillas, ruedas, clavos, tacos, taches)",3210204,0,"0,19","0,19","0,19",
386,"Pantuflas, sandalias, abuelitas, chanclas, cotizas y alpargatas para mujer",3210205,0,"0,19","0,19","0,19",
387,"Zapatos en cuero, caucho, goma y similares para ni�o",3210301,0,"0,19","0,19","0,19",
388,"Botas en cuero, caucho, goma y similares para ni�o",3210302,0,"0,19","0,19","0,19",
389,"Tenis, zapatillas y otros zapatos deportivos para ni�o (excluyendo zapatos para deportes espec�ficos equipados con cuchillas, ruedas, clavos, tacos, taches)",3210303,0,"0,19","0,19","0,19",
390,"Pantuflas, sandalias, abuelitas, chanclas, cotizas y alpargatas para ni�o",3210304,0,"0,19","0,19","0,19",
391,"Calzado plano en cuero, caucho, goma y similares para ni�a",3210401,0,"0,19","0,19","0,19",
392,"Calzado de tac�n en cuero, caucho, goma y similares para ni�a",3210402,0,"0,19","0,19","0,19",
393,"Botas en cuero, caucho, goma y similares para ni�a",3210403,0,"0,19","0,19","0,19",
394,"Tenis, zapatillas y otros zapatos deportivos para ni�a (excluyendo zapatos para deportes espec�ficos equipados con cuchillas, ruedas, clavos, tacos, taches)",3210404,0,"0,19","0,19","0,19",
395,"Pantuflas, sandalias, abuelitas, chanclas, cotizas y alpargatas para ni�a",3210405,0,"0,19","0,19","0,19",
396,"Calzado para beb�: zapatos, botas y tenis  ",3210501,0,"0,19","0,19","0,19",
397,"Accesorios para calzado: Plantillas, hormas, adaptadores para calzado y calzadores",3210601,0,"0,19","0,19","0,19",
398,"Lustrado y limpieza de zapatos ",3220101,0,"0,19","0,19","0,19",
399,"Reparaci�n de calzado: remonta, tapas, costuras, etc",3220201,0,"0,19","0,19","0,19",
400,"Alquiler de calzado diferente al calzado para deporte y recreaci�n",3220301,0,"0,19","0,19","0,19",
401,"Arriendo de la vivienda donde reside ",4110101,0,0,0,0,
402,"Arriendo por viviendas para uso del hogar diferentes a la que habita, (no incluye  los servicios de alojamiento ofrecidos por aldeas y centros de vacaciones)
",4120101,0,0,0,0,
403,"Estimaci�n del arriendo imputado de la vivienda propia ",4210101,0,0,0,0,
404,"Arriendos imputados por alquiler reducido o alojamiento gratuito o en usufructo",4229902,0,0,0,0,
405,"Arriendos imputados por vivienda dada como salario en especie",4229903,0,0,0,0,
406,"Pinturas y barnices para vivienda      ",4310101,0,"0,19","0,19","0,19",
407,"Recubrimientos para paredes (papel de colgadura, textiles, fibra de vidrio, piedra decorativa, etc.)",4310102,0,"0,19","0,19","0,19",
408,"Baldosas, porcelanato,celos�as, m�rmoles, cer�micas, vinilos, cenefas de enchape (para interiores y para ba�o y cocina)",4310103,0,"0,19","0,19","0,19",
409,"Vidrier�a para puertas y ventanas",4310104,0,"0,19","0,19","0,19",
410,"Yeso, cemento, masilla, pegantes, siliconas",4310105,0,"0,19","0,19","0,19",
411,"Tubos para el agua, grifos, codos, sifones, etc.",4310106,0,"0,19","0,19","0,19",
412,"Maderas pulidas y lacadas, parqu�, maderas burdas, tablas, tablones ",4310107,0,"0,19","0,19","0,19",
413,"Puertas y ventanas (incluye corredizas y tipo cancel)",4310108,0,"0,19","0,19","0,19",
414,"Otros materiales para la conservaci�n y la reparaci�n de la vivienda: tejas, cielo raso, drywall, canaletas, tanque de agua, etc",4310199,0,"0,19","0,19","0,19",
415,"Mantenimiento y reparaci�n de aire acondicionado y calefacci�n",4320101,0,"0,19","0,19","0,19",
416,"Mantenimiento y reparaci�n de ca�er�as de agua y ductos e instalaciones de gas",4320201,0,"0,19","0,19","0,19",
417,"Mantenimiento y reparaci�n de redes el�ctricas y telef�nicas",4320401,0,"0,19","0,19","0,19",
418,"Mantenimiento y reparaci�n de techos, paredes y pisos",4320501,0,"0,19","0,19","0,19",
419,"Limpieza de exteriores  de la vivienda",4320601,0,"0,19","0,19","0,19",
420,"Adoquinado y revestimiento menores de suelos de la vivienda",4320701,0,"0,19","0,19","0,19",
421,"Otros servicios para el mantenimiento y reparaci�n de la vivienda: cerrajer�a, pintura, enchape, carpinter�a, ebanister�a, decoraci�n, etc.",4329901,0,"0,19","0,19","0,19",
422,"Instalaci�n, conexi�n, contador de agua",4410101,0,"0,19","0,19","0,19",
423,"Servicio de acueducto",4410102,0,0,0,0,
424,"Reconexi�n del servicio de acueducto",4410103,0,"0,19","0,19","0,19",
425,"Servicio p�blico de recolecci�n de basuras y aseo",4420101,0,0,0,0,
426,"Pagos a recogedor de basuras y desechos",4420102,0,0,0,0,
427,"Instalaci�n o conexi�n al servicio de alcantarillado  ",4430101,0,"0,19","0,19","0,19",
428,"Servicio de alcantarillado",4430102,0,0,0,0,
429,"Cuotas de administraci�n de la vivienda para uso del hogar",4440101,0,0,0,0,
430,"Cuotas extraordinarias de administraci�n",4440102,0,0,0,0,
431,"Celadur�a comunal",4440103,0,"0,19","0,19","0,19",
432,"Mantenimiento y reparaci�n de ductos de ascensor",4440104,0,"0,19","0,19","0,19",
433,"Gastos de conservaci�n en jardiner�a",4440201,0,"0,19","0,19","0,19",
434,"Instalaci�n, conexi�n y contador del servicio de energ�a el�ctrica",4510101,0,"0,19","0,19","0,19",
435,"Servicio de energ�a el�ctrica",4510102,0,0,0,0,
436,"Reconexi�n del servicio de energ�a el�ctrica",4510103,0,"0,19","0,19","0,19",
437,"Servicio de alumbrado p�blico",4510104,0,"0,19","0,19","0,19",
438,"Compra de gas propano en pipeta o cilindro",4520101,0,0,0,0,
439,"Instalaci�n, conexi�n y contador del servicio de gas natural  ",4520201,0,"0,19","0,19","0,19",
440,"Servicio de gas natural por tuber�a",4520202,0,0,0,0,
441,"Reconexi�n del servicio de gas natural",4520203,0,"0,19","0,19","0,19",
442,"Combustibles l�quidos para cocinar: gasolina, kerosene, petr�leo, alcohol, etc.  ",4530101,0,"0,19","0,19","0,19",
443,"Combustibles s�lidos para cocinar: le�a, carb�n vegetal, carb�n mineral, etc.",4540101,0,0,0,0,"goods with different tax rates. Tentative VAT presented."
444,"Cama sencilla ",5110101,0,"0,19","0,19","0,19",
445,"Cama semidoble, doble, king size, base cama y cama nido
",5110102,0,"0,19","0,19","0,19",
446,"Cunas y corral para beb�",5110103,0,"0,19","0,19","0,19",
447,"Juego completo de muebles de alcoba",5110104,0,"0,19","0,19","0,19",
448,"Juego completo de muebles de sala",5110105,0,"0,19","0,19","0,19",
449,"Juego completo de muebles de comedor",5110106,0,"0,19","0,19","0,19",
450,"Gabinetes de ba�o",5110107,0,"0,19","0,19","0,19",
451,"Cocina integral",5110108,0,"0,19","0,19","0,19",
452,"Muebles y gabinetes para cocina",5110109,0,"0,19","0,19","0,19",
453,"Escritorios y mesas de dibujo",5110110,0,"0,19","0,19","0,19",
454,"Muebles para computador o centros de entretenimiento",5110111,0,"0,19","0,19","0,19",
455,"Colchones, somiers y colchonetas ",5110112,0,"0,19","0,19","0,19",
456,"Bases para colch�n, catres, camarotes, literas",5110113,0,"0,19","0,19","0,19",
457,"Sillas, sillones, sof�s, sofacamas",5110114,0,"0,19","0,19","0,19",
458,"Asientos como: mecedoras, butacos, bancas, asientos inflables y puff, etc",5110115,0,"0,19","0,19","0,19",
459,"Armarios, cl�sets, c�modas, chifoniers, escaparates, organizadores, roperos, baules, entrepa�os, repisas, etc.
",5110116,0,"0,19","0,19","0,19",
460,"Bibliotecas y muebles modulares",5110117,0,"0,19","0,19","0,19",
461,"Mesas de noche, mesas de centro, mesas auxiliares, mesa de bar y cava",5110119,0,"0,19","0,19","0,19",
462,"Otros muebles para el hogar como: biff�, tocadores, vitrinas, archivadores, biombos, parasol, tabique plegable etc.
",5110198,0,"0,19","0,19","0,19",
463,"Otros accesorios para el hogar: accesorios para ba�o, cocina, etc.",5110199,0,"0,19","0,19","0,19",
464,"L�mparas de techo o de pie, reflectores, poste solar led, l�mpara solar exterior y farol colgante o de pie.",5110201,0,"0,19","0,19","0,19",
465,"L�mparas o pantallas de mesa",5110202,0,"0,19","0,19","0,19",
466,"Velas, veladoras, velones ",5110203,0,"0,19","0,19","0,19",
467,"Candeleros y candelabros",5110204,0,"0,19","0,19","0,19",
468,"Cuadros y pinturas de arte",5110301,0,"0,19","0,19","0,19",
469,"Reproducciones de cuadros y pinturas",5110302,0,"0,19","0,19","0,19",
470,"Dibujos, grabados, tapices",5110303,0,"0,19","0,19","0,19",
471,"Estatuillas, esculturas, porcelanas y objetos de decoraci�n en cualquier material",5110304,0,"0,19","0,19","0,19",
472,"Otros objetos art�sticos",5110399,0,"0,19","0,19","0,19",
473,"Espejos, porta retratos y percheros",5119901,0,"0,19","0,19","0,19",
474,"Persianas de materiales diferentes a tela, blackout",5119902,0,"0,19","0,19","0,19",
475,"Alfombras y tapetes fijos y sueltos",5120101,0,"0,19","0,19","0,19",
476,"Reparaci�n de muebles, accesorios y materiales para pisos",5130101,0,"0,19","0,19","0,19",
477,"Restauraci�n de obras de arte y de muebles antiguos del hogar
",5130201,0,"0,19","0,19","0,19",
478,"Telas para confeccionar ropa de cama, manteles, cortinas y forros para muebles",5200101,0,"0,19","0,19","0,19",
479,"Juego completo de s�banas, sobres�banas y fundas ",5200201,0,"0,19","0,19","0,19",
480,"S�banas, sobresabanas, protectores de colch�n y fundas sueltas",5200202,0,"0,19","0,19","0,19",
481,"Cubrelechos, cubrecamas, colchas para cama, etc.",5200203,0,"0,19","0,19","0,19",
482,"Cobijas y mantas para adulto",5200204,0,"0,19","0,19","0,19",
483,"Cobijas, mantas y cobertores para beb�",5200205,0,"0,19","0,19","0,19",
484,"Almohadas, cojines, almohadones",5200206,0,"0,19","0,19","0,19",
485,"Hamacas, chinchorros, toldillos, mosquiteros",5200207,0,"0,19","0,19","0,19",
486,"Ropa de mesa: manteles, caminos de mesa, individuales y servilletas de tela para comedor",5200301,0,"0,19","0,19","0,19",
487,"Toallas de tela para ba�o",5200401,0,"0,19","0,19","0,19",
488,"Juego de lencer�a para ba�o",5200402,0,"0,19","0,19","0,19",
489,"Cortinas para ba�o",5200403,0,"0,19","0,19","0,19",
490,"Gastos por confecci�n y reparaci�n de productos textiles para el hogar",5200601,0,"0,19","0,19","0,19",
491,"Cortinas confeccionadas y cenefas para cortinas ",5209901,0,"0,19","0,19","0,19",
492,"Lanas y telas para tejidos y decoraci�n del hogar",5209902,0,"0,19","0,19","0,19",
493,"Talegos, sacos o lonas para ropa en tela",5209903,0,"0,19","0,19","0,19",
494,"Banderas y escudos en general",5209904,0,"0,19","0,19","0,19",
495,"Piedecamas, esteras y esterillas",5209905,0,"0,19","0,19","0,19",
496,"Forros para muebles y electrodom�sticos ",5209906,0,"0,19","0,19","0,19",
497,"Neveras, refrigeradores y congeladores",5310101,1,"0,19","0,19","0,19","See enph.org for a recipe. Here is the earlier comment:VAT of 5% depending on value (30 uvt (unidad de valor tributario), aprox. $955800 COP), estrato (<=3),other conditions (the household has to give back an old fridge at the moment of purchase) as per article 468.1 of tax code"
498,"Lavadora y secadora de ropa",5310201,1,"0,19","0,19","0,19",
499,"Lavadora de platos",5310202,1,"0,19","0,19","0,19",
500,"Estufa a gas",5310301,1,"0,19","0,19","0,19",
501,"Estufa el�ctrica",5310302,1,"0,19","0,19","0,19",
502,"Estufa mixta (el�ctrica y a gas)",5310303,1,"0,19","0,19","0,19",
503,"Campana extractora para la estufa",5310304,1,"0,19","0,19","0,19",
504,"Estufa de carb�n o le�a, a gasolina o petr�leo ",5310305,1,"0,19","0,19","0,19",
505,"Hornos el�ctricos y hornos de gas ",5310306,1,"0,19","0,19","0,19",
506,"Hornos microondas",5310307,1,"0,19","0,19","0,19",
507,"Pipetas o cilindros de gas (envase sin incluir el gas)",5310308,0,"0,19","0,19","0,19",
508,"Asadores no el�ctricos (para BBQ, carb�n, le�a, a gas, etc.)",5310309,0,"0,19","0,19","0,19",
509,"Calentadores el�ctricos",5310501,1,"0,19","0,19","0,19",
510,"Calentador de gas",5310502,1,"0,19","0,19","0,19",
511,"Aire acondicionado, purificadores de agua o aire",5310601,1,"0,19","0,19","0,19",
512,"Ventiladores o abanicos fijos",5310602,1,"0,19","0,19","0,19",
513,"Aspiradora, brilladora, lavatapetes e hidrolavadora",5310701,1,"0,19","0,19","0,19",
514,"M�quinas de coser, tejer, fileteadoras y telares",5310801,1,"0,19","0,19","0,19",
515,"Otros aparatos grandes del hogar: trituradoras de desperdicios, cajas fuertes, tinas, hidromasajes y piscinas spa.",5319901,1,"0,19","0,19","0,19",
516,"Plancha el�ctrica para ropa",5320101,1,"0,19","0,19","0,19",
517,"Licuadora, picadora y ayudante de cocina el�ctrico y procesador de alimentos",5320102,1,"0,19","0,19","0,19",
518,"Batidora, mezcladora el�ctrica ",5320103,1,"0,19","0,19","0,19",
519,"Sanducheras, wafleras, tostadoras el�ctricas",5320104,1,"0,19","0,19","0,19",
520,"Extractor de zumos y exprimidor el�ctricos",5320105,1,"0,19","0,19","0,19",
521,"Cafeteras el�ctricas, teteras el�ctricas",5320106,1,"0,19","0,19","0,19",
522,"Ollas arroceras, freidoras el�ctricas y fondue",5320107,1,"0,19","0,19","0,19",
523,"Cuchillos, afila cuchillos y abrelatas (incluye el�ctricos)",5320108,0,"0,19","0,19","0,19",
524,"Encendedores el�ctricos y no el�ctricos para estufa",5320109,0,"0,19","0,19","0,19",
525,"Ventiladores o abanicos movibles",5320110,1,"0,19","0,19","0,19",
526,"Duchas el�ctricas",5320111,1,"0,19","0,19","0,19",
527,"Asadores el�ctricos para carne (raclette)",5320112,0,"0,19","0,19","0,19",
528,"Extractor el�ctrico de olores",5320114,1,"0,19","0,19","0,19",
529,"Portacomidas el�ctrico",5320116,0,"0,19","0,19","0,19",
530,"Esterilizadores o calentadores  de teteros",5320117,0,"0,19","0,19","0,19",
531,"Otros aparatos el�ctricos para el hogar: crispetera, m�quina para helados, hornos tostadores",5320199,0,"0,19","0,19","0,19",
532,"Repuestos para aparatos dom�sticos",5330101,0,"0,19","0,19","0,19",
533,"Reparaci�n de aparatos y utensilios dom�sticos",5330102,0,"0,19","0,19","0,19",
534,"Alquiler de artefactos o aparatos dom�sticos (lavadoras, computadores, etc)",5330103,0,"0,19","0,19","0,19",
535,"Vajilla completa, juego de t� o caf� y otros juegos completos (vaso, jarra, copas)",5400101,0,"0,19","0,19","0,19",
536,"Platos, pocillos, tazas, mugs",5400102,0,"0,19","0,19","0,19",
537,"Vasos, copas, jarras",5400103,0,"0,19","0,19","0,19",
538,"Bandejas, ensaladeras, soperas, dulceras, queseras, salseras, paneras.",5400104,0,"0,19","0,19","0,19",
539,"Refractarias, jarras especiales (a fuego directo, filtro purificador)",5400105,0,"0,19","0,19","0,19",
540,"Otros art�culos de vidrio, cristal, porcelana, cer�mica",5400199,0,"0,19","0,19","0,19",
541,"Juego completo de cubiertos de mesa y cocina",5400201,0,"0,19","0,19","0,19",
542,"Cucharas, cucharitas, tenedores, cuchillos, cucharones, tijeras de cocina  ",5400202,0,"0,19","0,19","0,19",
543,"Ollas, cacerolas, cazuelas y sartenes de aluminio, esmaltadas, tefl�n, etc.",5400301,0,"0,19","0,19","0,19",
544,"Ollas a presi�n",5400302,0,"0,19","0,19","0,19",
545,"Planchas para asar y parrillas",5400303,0,"0,19","0,19","0,19",
546,"Molinillos, coladeras, coladores, pinzas para hielo, abrelatas y sacacorchos manuales, piedras de afilar, moldes met�licos",5400304,0,"0,19","0,19","0,19",
547,"Cafeteras y teteras no el�ctricas, dispensadores (agua y licor)",5400305,0,"0,19","0,19","0,19",
548,"Molinos, ralladores, trituradores de ajo, picadoras y exprimidores de jugo de tipo manual",5400306,0,"0,19","0,19","0,19",
549,"Corta huevos, pela papas, rebanador de quesos, cortador de pizza",5400307,0,"0,19","0,19","0,19",
550,"Tablas para picar, mortero y mazo, escurridor de aceite",5400308,0,"0,19","0,19","0,19",
551,"Set de mesa para vinagre y aceite, servilletero, especiero",5400309,0,"0,19","0,19","0,19",
552,"Termo, botella de aluminio, coctelera, hielera, vaso mezclador",5400310,0,"0,19","0,19","0,19",
553,"Reverberos, cocinas de alcohol y cocinetas",5400311,0,"0,19","0,19","0,19",
554,"Biberones o teteros",5400314,0,"0,19","0,19","0,19",
555,"Accesorios para utensilios de cocina y menaje no el�ctrico (cauchos, pitos, identificadores de cubiertos o de bebida, porta ollas, etc.)",5400315,0,"0,19","0,19","0,19",
556,"Otros utensilios de cocina y menaje no el�ctricos del hogar (centrifugador de verduras, escurridor de loza, recipientes y loncheras para guardar comida, set para reposteria, etc.)",5400399,0,"0,19","0,19","0,19",
557,"Reparaci�n de cristaler�a, vajilla y utensilios del hogar",5400501,0,"0,19","0,19","0,19",
558,"Mesa de planchar",5409901,0,"0,19","0,19","0,19",
559,"Ceniceros, floreros",5409903,0,"0,19","0,19","0,19",
560,"Platones, baldes, embudos y poncheras",5409904,0,"0,19","0,19","0,19",
561,"Canecas y papeleras para la basura",5409905,0,"0,19","0,19","0,19",
562,"Cestas y recipientes para la ropa de materiales diferentes a tela",5409906,0,"0,19","0,19","0,19",
563,"Vasenilla, micas o patos m�dicos",5409907,0,"0,19","0,19","0,19",
564,"Taladros, soldadoras, sierras, pulidoras y cizallas el�ctricas para uso del hogar
",5510101,0,"0,19","0,19","0,19",
565,"Podadoras, cortadoras de c�sped y guada�adoras el�ctricas o motorizadas y tractores el�ctricos para jard�n para uso del hogar
",5510102,0,0,0,0,
566,"Compra e instalaci�n de bombas el�ctricas de agua, generador de energ�a o planta el�ctrica de mediana potencia para uso del hogar",5510103,0,"0,19","0,19","0,19",
567,"Otras herramientas y equipos el�ctricos grandes para uso del hogar ",5510199,0,"0,19","0,19","0,19",
568,"Reparaci�n de herramientas y equipos grandes para uso del hogar  ( Herramientas y equipo motorizados, como taladros, sierras, pulidoras y cortadoras el�ctricos, tractores para jard�n, cortadoras de c�sped, cultivadores, sierras de cadena y bombas de agua.)
",5510201,0,"0,19","0,19","0,19",
569,"Alquiler de maquinaria y equipo grande ( Herramientas y equipo motorizados, como taladros, sierras, pulidoras y cortadoras el�ctricos, tractores para jard�n, cortadoras de c�sped, cultivadores, sierras de cadena y bombas de agua.)

",5510301,0,"0,19","0,19","0,19",
570,"Hombresolos, alicates, tenazas, martillos, destornilladores, punzones, serruchos, limas para herramientas, escofinas, cizallas manuales, punteros, cinceles, palustres, etc.",5520101,0,"0,19","0,19","0,19",
571,"Llaves de tuercas, llaves inglesas, llaves bristol.",5520102,0,"0,19","0,19","0,19",
572,"Cintas m�tricas: metro, dec�metro, niveles, etc.",5520103,0,"0,19","0,19","0,19",
573,"Otras herramientas del hogar: escaleras, bombas de agua no el�ctricas, etc.",5520199,0,"0,19","0,19","0,19",
574,"Herramientas de jard�n: Carretillas, mangueras, lanzachorro, palas, azadones, pica,  estacas",5520201,0,"0,19","0,19","0,19",
575,"Bombillos incandescentes, tubos fluorescentes, larga vida, hal�genos, de ne�n, LED y de tungsteno.",5520301,0,"0,19","0,19","0,19",
576,"Enchufes, interruptores, dimmers, cables el�ctricos, rosetas, cinta aislante y de tefl�n,  timbres, alarmas, estabilizadores",5520302,0,"0,19","0,19","0,19",
577,"Pilas y bater�as recargables y no recargables para uso general",5520303,0,"0,19","0,19","0,19",
578,"Linternas y l�mparas de mano",5520304,0,"0,19","0,19","0,19",
579,"Otros accesorios el�ctricos peque�os (timers)",5520399,0,"0,19","0,19","0,19",
580,"Accesorios para puertas, ventanas y sillas: Bisagras, manijas, cerraduras, candados, conteras, topes, burletes, etc.",5520401,0,"0,19","0,19","0,19",
581,"Reparaci�n de herramientas peque�as y accesorios diversos del hogar y del jard�n",5520601,0,"0,19","0,19","0,19",
582,"Otros art�culos de metal, madera, pl�stico para el hogar: rieles, varillas, tubos para cortina, ganchos para cortina, guardaescobas, perfiles y esquineros etc.",5529901,0,"0,19","0,19","0,19",
583,"Jab�n en barra para lavar ropa",5610101,2,"0,19","0,19","0,19",
584,"Jab�n de cocina",5610102,2,"0,19","0,19","0,19",
585,"Detergente en polvo",5610104,2,"0,19","0,19","0,19",
586,"Detergente l�quido",5610105,2,"0,19","0,19","0,19",
587,Blanqueadores,5610106,2,"0,19","0,19","0,19",
588,Suavizantes,5610107,2,"0,19","0,19","0,19",
589,"Quitamanchas, polvo limpiador y champ� para alfombras",5610108,2,"0,19","0,19","0,19",
590,"L�quidos y desinfectantes para limpiar muebles, vidrios, hornos, estufas, paredes, ba�os, pisos
",5610109,2,"0,19","0,19","0,19",
591,"Ambientadores y desodorantes ambientales (velas aromatizadas, pastillas, aceites, geles, incienso, esencias naturales o florales para aromatizar ambientes)
",5610110,2,"0,19","0,19","0,19",
592,"Cera para pisos y selladores",5610111,2,"0,19","0,19","0,19",
593,"Insecticidas, fungicidas (enchufe, spray, etc), trampa y venenos para roedores",5610112,2,0,0,0,
594,"Otros productos de limpieza y mantenimiento: almidones para camisas, alcanfor, naftalina, disolventes, destapaca�er�as.",5610199,2,"0,19","0,19","0,19",
595,"Escobas, recogedores de basura, escobillas, plumeros limpiapolvos, trapeadores, chupa, destapaca�er�as mec�nico y cepillos (para paredes, ba�os, ropa, veh�culo y calzado)",5610201,2,"0,19","0,19","0,19",
596,"Guantes de caucho  ",5610202,2,"0,19","0,19","0,19",
597,"Esponjas, esponjillas y estropajos",5610203,2,"0,19","0,19","0,19",
598,"Limpiones, cogeollas, pa�os de tela para limpiar (bayetilla, de microfibra) y delantales para cocina
",5610204,2,"0,19","0,19","0,19",
599,"Otros elementos de aseo (antihumedad, antiacaros, antiolores)",5610299,2,"0,19","0,19","0,19",
600,"Cuerdas, cordeles, mechas para l�mpara, tendederos y pinzas para ropa, perchas de tornillo y ganchos adhesivos",5619901,0,"0,19","0,19","0,19",
601,"Agujas (para coser, tejer), alfileres",5619902,0,"0,19","0,19","0,19",
602,"Tijeras para costura, abreojales, desbaratadores, dedales",5619903,0,"0,19","0,19","0,19",
603,"F�sforos y encendedores desechables",5619905,0,"0,19","0,19","0,19",
604,"Bet�n, pomadas, tintes, cremas y espumas siliconadas para calzado",5619906,0,"0,19","0,19","0,19",
605,"Barnices, lacas y tintes para accesorios del hogar ",5619907,0,"0,19","0,19","0,19",
606,"Anilinas y tintes para prendas de vestir",5619908,0,"0,19","0,19","0,19",
607,"Art�culos de ferreter�a: puntillas, clavos, tornillos, tuercas, brocas, brochas, pinceles, lijas y otros.",5610401,0,"0,19","0,19","0,19",
608,"Papel de aluminio, parafinado, vinilpel, moldes de aluminio, filtros de papel para cafetera",5610501,0,"0,19","0,19","0,19",
609,"Rollos o pa�os de papel (absordente, h�medos) para cocina",5610502,0,"0,19","0,19","0,19",
610,"Productos desechables: servilletas,  manteles, platos, vasos, cubiertos, palillos",5610503,0,"0,19","0,19","0,19",
611,"Bolsas pl�sticas para basura y para aspiradora   ",5610505,0,"0,19","0,19","0,19",
612,"Otros productos desechables:  pitillos, palos de pincho, etc",5610599,0,"0,19","0,19","0,19",
613,"Empleado(a) dom�stico interno ",5620101,0,0,0,0,
614,"Empleado(a) dom�stico por d�as (permanente o temporal)",5620102,0,0,0,0,
615,"Otros empleados dom�sticos: amas de llaves, institutrices, tutores, mayordomos, choferes, jardineros, celadores, ni�eras dentro del hogar
",5620199,0,"0,19","0,19","0,19",
616,"Servicio de limpieza de ventanas",5620201,0,"0,19","0,19","0,19",
617,"Servicio de desinfecci�n y fumigaci�n del hogar",5620202,0,"0,19","0,19","0,19",
618,"Servicio de lavado de ropa y limpieza del hogar: cubrelechos, cortinas, tejidos del hogar, tapetes, muebles y ventanas.",5620301,0,"0,19","0,19","0,19",
619,"Servicio de lavado de alfombras",5620302,0,"0,19","0,19","0,19",
620,"Servicio de tintorer�a y te�ido de ropa del hogar",5620303,0,"0,19","0,19","0,19",
621,"Analg�sicos y Antiinflamatorios",6110101,0,0,0,0,
622,"Anti�cidos y medicamentos para la Gastritis",6110102,0,0,0,0,
623,"Antibi�ticos topicos y sist�micos",6110103,0,0,0,0,
624,"Medicamentos antial�rgicos (antihistam�nicos)",6110104,0,0,0,0,
625,"Antigripales y Antitusivos no homeop�ticos",6110105,0,0,0,0,
626,"Antiparasitarios, antimibianos, purgantes y laxantes",6110106,0,0,0,0,
627,"Antiartr�ticos y Antirreum�ticos ",6110107,0,0,0,0,
628,"Antidiab�ticos e Insulinas ",6110108,0,0,0,0,
629,"Antiespasm�dicos y Antidiarr�icos",6110109,0,0,0,0,
630,"Medicamentos para la tensi�n arterial y cardiovasculares",6110111,0,0,0,0,
631,Desinfectantes,6110112,2,0,0,0,
632,"Suero oral y sales de rehidrataci�n",6110113,0,0,0,0,
633,Vacunas,6110114,0,0,0,0,
634,"Suplementos dietarios, vitaminas, reconstituyentes, calcio, otros minerales y aceite de higado de bacalao",6110115,0,0,0,0,
635,"Medicamentos para nivelar los niveles de colesterol",6110117,0,0,0,0,
636,"Medicamentos para tratamientos contra el cancer",6110118,0,0,0,0,
637,"Medicamentos para tratar la disfuncion erectil",6110119,0,0,0,0,
638,"Medicamentos para tratar afecciones de la tiroides",6110120,0,0,0,0,
639,"Medicamentos para el tratamiento de enfermedades psiqui�tricas y antidepresivas",6110121,0,0,0,0,
